"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","sampling_time"
"GMM","PG","HMC","15","25","1","139.002415744"
"GMM","PG","HMC","15","25","7","139.854703223"
"GMM","PG","HMC","15","25","9","139.984722877"
"GMM","PG","HMC","15","25","4","141.091223212"
"GMM","PG","HMC","15","25","10","137.92962951"
"GMM","PG","HMC","15","25","5","141.138913848"
"GMM","PG","HMC","15","25","8","141.442300928"
"GMM","PG","HMC","15","25","2","5.350654377"
"GMM","PG","HMC","15","25","6","68.736688533"
"GMM","PG","HMC","15","25","3","76.829347819"
"GMM","AG","HMC","5","50","7","208.533233196"
"GMM","AG","HMC","5","50","4","1.579796691"
"GMM","AG","HMC","5","50","9","3.150880426"
"GMM","AG","HMC","5","50","1","4.31567685"
"GMM","AG","HMC","5","50","8","163.658853041"
"GMM","AG","HMC","5","50","5","174.199390985"
"GMM","AG","HMC","5","50","10","179.715429903"
"GMM","AG","HMC","5","50","2","184.824150937"
"GMM","AG","HMC","5","50","6","98.643945615"
"GMM","AG","HMC","5","50","3","109.757953658"
"GMM","PG","HMC","5","50","9","114.48658006"
"GMM","PG","HMC","5","50","1","0.379720849"
"GMM","PG","HMC","5","50","7","2.123122867"
"GMM","PG","HMC","5","50","4","2.346654903"
"GMM","PG","HMC","5","50","10","86.18508199"
"GMM","PG","HMC","5","50","2","106.487775244"
"GMM","PG","HMC","5","50","8","3.63465439"
"GMM","PG","HMC","5","50","5","4.969665872"
"GMM","PG","HMC","5","50","3","61.140484098"
"GMM","PG","HMC","5","50","6","62.091753618"
"GMM","AG","HMC","10","50","9","204.486955896"
"GMM","AG","HMC","10","50","1","1.011942329"
"GMM","AG","HMC","10","50","4","2.296039305"
"GMM","AG","HMC","10","50","7","2.446024523"
"GMM","AG","HMC","10","50","10","174.991531787"
"GMM","AG","HMC","10","50","5","186.616215291"
"GMM","AG","HMC","10","50","8","187.979764517"
"GMM","AG","HMC","10","50","2","194.199749349"
"GMM","AG","HMC","10","50","6","99.917686776"
"GMM","AG","HMC","10","50","3","110.658654258"
"GMM","PG","HMC","10","50","7","173.053628045"
"GMM","PG","HMC","10","50","9","3.87922377"
"GMM","PG","HMC","10","50","4","0.311174012"
"GMM","PG","HMC","10","50","1","13.345237592"
"GMM","PG","HMC","10","50","8","141.935827728"
"GMM","PG","HMC","10","50","10","149.417716083"
"GMM","PG","HMC","10","50","5","154.187972827"
"GMM","PG","HMC","10","50","2","21.040410146"
"GMM","PG","HMC","10","50","6","69.041322106"
"GMM","PG","HMC","10","50","3","96.803418944"
"GMM","AG","HMC","15","50","7","200.23796542"
"GMM","AG","HMC","15","50","1","2.355593408"
"GMM","AG","HMC","15","50","4","3.941933424"
"GMM","AG","HMC","15","50","9","4.381139756"
"GMM","AG","HMC","15","50","8","170.307783995"
"GMM","AG","HMC","15","50","5","183.585804377"
"GMM","AG","HMC","15","50","10","193.529462686"
"GMM","AG","HMC","15","50","2","196.912830103"
"GMM","AG","HMC","15","50","6","102.659854819"
"GMM","AG","HMC","15","50","3","114.945432499"
"GMM","PG","HMC","15","50","1","245.220532795"
"GMM","PG","HMC","15","50","9","249.271551089"
"GMM","PG","HMC","15","50","7","249.281164527"
"GMM","PG","HMC","15","50","4","250.933266497"
"GMM","PG","HMC","15","50","8","243.839660449"
"GMM","PG","HMC","15","50","10","246.660954577"
"GMM","PG","HMC","15","50","5","250.836832276"
"GMM","PG","HMC","15","50","2","5.286929399"
"GMM","PG","HMC","15","50","6","124.266850237"
"GMM","PG","HMC","15","50","3","136.303577031"
"GMM","AG","HMC","5","100","4","815.569334742"
"GMM","AG","HMC","5","100","9","3.170567612"
"GMM","AG","HMC","5","100","7","5.371932841"
"GMM","AG","HMC","5","100","1","5.879620956"
"GMM","AG","HMC","5","100","5","719.034918155"
"GMM","AG","HMC","5","100","10","20.956268135"
"GMM","AG","HMC","5","100","8","28.651929972"
"GMM","AG","HMC","5","100","2","50.063297049"
"GMM","AG","HMC","5","100","6","365.358660417"
"GMM","AG","HMC","5","100","3","425.313252585"
"GMM","PG","HMC","5","100","7","275.758211794"
"GMM","PG","HMC","5","100","4","17.253017627"
"GMM","PG","HMC","5","100","9","11.683055104"
"GMM","PG","HMC","5","100","1","47.756878842"
"GMM","PG","HMC","5","100","8","204.783633943"
"GMM","PG","HMC","5","100","10","215.620878106"
"GMM","PG","HMC","5","100","5","226.704208172"
"GMM","PG","HMC","5","100","2","54.10984128"
"GMM","PG","HMC","5","100","6","77.788561896"
"GMM","PG","HMC","5","100","3","148.288930654"
