model,discrete_algorithm,continuous_algorithm,particles,data_size,repetition,parameter,step,value
GMM,PG,MH,5,10,1,w[2],8,0.9174232266341112
GMM,PG,MH,5,10,1,z[1],8,2.0
GMM,PG,MH,5,10,1,z[2],8,2.0
GMM,PG,MH,5,10,1,z[3],8,2.0
GMM,PG,MH,5,10,1,z[4],8,2.0
GMM,PG,MH,5,10,1,z[5],8,2.0
GMM,PG,MH,5,10,1,z[6],8,2.0
GMM,PG,MH,5,10,1,z[7],8,2.0
GMM,PG,MH,5,10,1,z[8],8,2.0
GMM,PG,MH,5,10,1,z[9],8,1.0
GMM,PG,MH,5,10,1,z[10],8,1.0
GMM,PG,MH,5,10,1,μ[1],8,-2.5771208565071895
GMM,PG,MH,5,10,1,μ[2],8,-1.6418547085144448
GMM,PG,MH,5,10,1,w[1],9,0.0825767733658889
GMM,PG,MH,5,10,1,w[2],9,0.9174232266341112
GMM,PG,MH,5,10,1,z[1],9,2.0
GMM,PG,MH,5,10,1,z[2],9,2.0
GMM,PG,MH,5,10,1,z[3],9,1.0
GMM,PG,MH,5,10,1,z[4],9,2.0
GMM,PG,MH,5,10,1,z[5],9,2.0
GMM,PG,MH,5,10,1,z[6],9,2.0
GMM,PG,MH,5,10,1,z[7],9,1.0
GMM,PG,MH,5,10,1,z[8],9,2.0
GMM,PG,MH,5,10,1,z[9],9,1.0
GMM,PG,MH,5,10,1,z[10],9,1.0
GMM,PG,MH,5,10,1,μ[1],9,-2.5771208565071895
GMM,PG,MH,5,10,1,μ[2],9,-1.6418547085144448
GMM,PG,MH,5,10,1,w[1],10,0.0825767733658889
GMM,PG,MH,5,10,1,w[2],10,0.9174232266341112
GMM,PG,MH,5,10,1,z[1],10,1.0
GMM,PG,MH,5,10,1,z[2],10,2.0
GMM,PG,MH,5,10,1,z[3],10,2.0
GMM,PG,MH,5,10,1,z[4],10,2.0
GMM,PG,MH,5,10,1,z[5],10,2.0
GMM,PG,MH,5,10,1,z[6],10,2.0
GMM,PG,MH,5,10,1,z[7],10,2.0
GMM,PG,MH,5,10,1,z[8],10,2.0
GMM,PG,MH,5,10,1,z[9],10,2.0
GMM,PG,MH,5,10,1,z[10],10,1.0
GMM,PG,MH,5,10,1,μ[1],10,-2.5771208565071895
GMM,PG,MH,5,10,1,μ[2],10,-1.6418547085144448
GMM,PG,MH,5,10,2,w[1],1,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],1,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],1,1.0
GMM,PG,MH,5,10,2,z[2],1,2.0
GMM,PG,MH,5,10,2,z[3],1,2.0
