"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","PG","MH","5","10","3","z[9]","r_hat","1.0932163332202425"
"GMM","PG","MH","5","10","3","z[10]","ess","11.704760691452494"
"GMM","PG","MH","5","10","3","z[10]","r_hat","1.0674899923282326"
"GMM","PG","MH","5","10","3","μ[1]","ess","3.9112577865989286"
"GMM","PG","MH","5","10","3","μ[1]","r_hat","1.3975504499959284"
"GMM","PG","MH","5","10","3","μ[2]","ess","32.658994886108175"
"GMM","PG","MH","5","10","3","μ[2]","r_hat","0.9902438439473723"
"GMM","PG","MH","5","10","4","w[1]","ess","3.02530275588253"
"GMM","PG","MH","5","10","4","w[1]","r_hat","1.5856687712011837"
"GMM","PG","MH","5","10","4","w[2]","ess","3.0253027558825316"
"GMM","PG","MH","5","10","4","w[2]","r_hat","1.5856687712011828"
"GMM","PG","MH","5","10","4","z[1]","ess","143.284468769768"
"GMM","PG","MH","5","10","4","z[1]","r_hat","0.9905086292570946"
"GMM","PG","MH","5","10","4","z[2]","ess","125.86319218241054"
"GMM","PG","MH","5","10","4","z[2]","r_hat","0.9899494936611666"
"GMM","PG","MH","5","10","4","z[3]","ess","126.31302060499759"
"GMM","PG","MH","5","10","4","z[3]","r_hat","0.9909611949917868"
"GMM","PG","MH","5","10","4","z[4]","ess","61.61974678917213"
"GMM","PG","MH","5","10","4","z[4]","r_hat","1.0249458278725863"
"GMM","PG","MH","5","10","4","z[5]","ess","80.45460672834665"
"GMM","PG","MH","5","10","4","z[5]","r_hat","0.9903457112050124"
"GMM","PG","MH","5","10","4","z[6]","ess","149.7207660211831"
"GMM","PG","MH","5","10","4","z[6]","r_hat","0.9920357962780609"
"GMM","PG","MH","5","10","4","z[7]","ess","76.26289245989427"
"GMM","PG","MH","5","10","4","z[7]","r_hat","0.9953443537357617"
"GMM","PG","MH","5","10","4","z[8]","ess","178.66817122268023"
"GMM","PG","MH","5","10","4","z[8]","r_hat","0.9899494936611665"
"GMM","PG","MH","5","10","4","z[9]","ess","114.06224508305446"
"GMM","PG","MH","5","10","4","z[9]","r_hat","0.9969622105622156"
"GMM","PG","MH","5","10","4","z[10]","ess","104.95260925234282"
"GMM","PG","MH","5","10","4","z[10]","r_hat","0.9920357962780609"
"GMM","PG","MH","5","10","4","μ[1]","ess","8.28848534350622"
"GMM","PG","MH","5","10","4","μ[1]","r_hat","0.9915697526918908"
"GMM","PG","MH","5","10","4","μ[2]","ess","3.0471899240494484"
"GMM","PG","MH","5","10","4","μ[2]","r_hat","1.4652941627303187"
"GMM","PG","MH","5","10","5","w[1]","ess","36.503829412023265"
"GMM","PG","MH","5","10","5","w[1]","r_hat","1.030299428297763"
"GMM","PG","MH","5","10","5","w[2]","ess","36.503829412023194"
"GMM","PG","MH","5","10","5","w[2]","r_hat","1.0302994282977636"
"GMM","PG","MH","5","10","5","z[1]","ess","9.600291848790125"
"GMM","PG","MH","5","10","5","z[1]","r_hat","1.1196509427577122"
"GMM","PG","MH","5","10","5","z[2]","ess","54.302656057055465"
"GMM","PG","MH","5","10","5","z[2]","r_hat","0.9903973333102499"
"GMM","PG","MH","5","10","5","z[3]","ess","76.5272977559951"
"GMM","PG","MH","5","10","5","z[3]","r_hat","0.9904124113828245"
"GMM","PG","MH","5","10","5","z[4]","ess","23.56516852422387"
"GMM","PG","MH","5","10","5","z[4]","r_hat","1.026905648668662"
"GMM","PG","MH","5","10","5","z[5]","ess","12.37005680384327"
"GMM","PG","MH","5","10","5","z[5]","r_hat","1.12089707663561"
"GMM","PG","MH","5","10","5","z[6]","ess","49.83244041265363"
"GMM","PG","MH","5","10","5","z[6]","r_hat","1.0064650826615011"
"GMM","PG","MH","5","10","5","z[7]","ess","42.70291136854302"
"GMM","PG","MH","5","10","5","z[7]","r_hat","0.9947127103871689"
"GMM","PG","MH","5","10","5","z[8]","ess","40.87541040384768"
"GMM","PG","MH","5","10","5","z[8]","r_hat","0.9935211811277089"
"GMM","PG","MH","5","10","5","z[9]","ess","36.131256901082686"
"GMM","PG","MH","5","10","5","z[9]","r_hat","0.9915763632774464"
"GMM","PG","MH","5","10","5","z[10]","ess","49.54176425796152"
"GMM","PG","MH","5","10","5","z[10]","r_hat","0.990430401872025"
"GMM","PG","MH","5","10","5","μ[1]","ess","9.999570109167164"
"GMM","PG","MH","5","10","5","μ[1]","r_hat","1.1272989423135953"
"GMM","PG","MH","5","10","5","μ[2]","ess","4.64859979609686"
"GMM","PG","MH","5","10","5","μ[2]","r_hat","1.20765480236802"
"GMM","PG","MH","5","10","6","w[1]","ess","5.102996893806911"
"GMM","PG","MH","5","10","6","w[1]","r_hat","1.2663388378553118"
"GMM","PG","MH","5","10","6","w[2]","ess","5.102996893806911"
"GMM","PG","MH","5","10","6","w[2]","r_hat","1.266338837855312"
"GMM","PG","MH","5","10","6","z[1]","ess","65.5629854051816"
"GMM","PG","MH","5","10","6","z[1]","r_hat","1.0121372592871842"
"GMM","PG","MH","5","10","6","z[2]","ess","15.371421688616934"
"GMM","PG","MH","5","10","6","z[2]","r_hat","0.9909611949917868"
"GMM","PG","MH","5","10","6","z[3]","ess","17.161533829324274"
"GMM","PG","MH","5","10","6","z[3]","r_hat","1.0635788640246664"
"GMM","PG","MH","5","10","6","z[4]","ess","22.222596197409114"
"GMM","PG","MH","5","10","6","z[4]","r_hat","1.044047454725741"
"GMM","PG","MH","5","10","6","z[5]","ess","7.326586316983496"
"GMM","PG","MH","5","10","6","z[5]","r_hat","1.1001852223652941"
"GMM","PG","MH","5","10","6","z[6]","ess","61.22033214282469"
"GMM","PG","MH","5","10","6","z[6]","r_hat","0.9908251678648137"
"GMM","PG","MH","5","10","6","z[7]","ess","77.03353255058504"
"GMM","PG","MH","5","10","6","z[7]","r_hat","0.9899494936611666"
"GMM","PG","MH","5","10","6","z[8]","ess","22.901526881044255"
"GMM","PG","MH","5","10","6","z[8]","r_hat","1.0287546122386444"
"GMM","PG","MH","5","10","6","z[9]","ess","34.80882369179301"
"GMM","PG","MH","5","10","6","z[9]","r_hat","1.007647525354742"
"GMM","PG","MH","5","10","6","z[10]","ess","15.331516568559579"
"GMM","PG","MH","5","10","6","z[10]","r_hat","1.0755430595988358"
"GMM","PG","MH","5","10","6","μ[1]","ess","4.231946032914345"
"GMM","PG","MH","5","10","6","μ[1]","r_hat","1.311694928047251"
"GMM","PG","MH","5","10","6","μ[2]","ess","7.361951404219936"
"GMM","PG","MH","5","10","6","μ[2]","r_hat","1.000038879891528"
"GMM","PG","MH","5","10","7","w[1]","ess","3.8318928146477083"
"GMM","PG","MH","5","10","7","w[1]","r_hat","1.4622486831960106"
"GMM","PG","MH","5","10","7","w[2]","ess","3.831892814647706"
"GMM","PG","MH","5","10","7","w[2]","r_hat","1.4622486831960106"
"GMM","PG","MH","5","10","7","z[1]","ess","72.80861809328515"
"GMM","PG","MH","5","10","7","z[1]","r_hat","1.0249458278725863"
"GMM","PG","MH","5","10","7","z[2]","ess","114.17475728155354"
"GMM","PG","MH","5","10","7","z[2]","r_hat","1.0"
"GMM","PG","MH","5","10","7","z[3]","ess","149.7207660211831"
"GMM","PG","MH","5","10","7","z[3]","r_hat","0.9920357962780609"
"GMM","PG","MH","5","10","7","z[4]","ess","8.445588303813754"
"GMM","PG","MH","5","10","7","z[4]","r_hat","1.0801234497346432"
"GMM","PG","MH","5","10","7","z[5]","ess","20.67443891237813"
"GMM","PG","MH","5","10","7","z[5]","r_hat","1.0115061315128298"
"GMM","PG","MH","5","10","7","z[6]","ess","NaN"
"GMM","PG","MH","5","10","7","z[6]","r_hat","NaN"
"GMM","PG","MH","5","10","7","z[7]","ess","NaN"
"GMM","PG","MH","5","10","7","z[7]","r_hat","NaN"
"GMM","PG","MH","5","10","7","z[8]","ess","114.17475728155331"
"GMM","PG","MH","5","10","7","z[8]","r_hat","1.021054940485262"
"GMM","PG","MH","5","10","7","z[9]","ess","24.580859163146314"
"GMM","PG","MH","5","10","7","z[9]","r_hat","1.0103629710818451"
"GMM","PG","MH","5","10","7","z[10]","ess","NaN"
"GMM","PG","MH","5","10","7","z[10]","r_hat","NaN"
"GMM","PG","MH","5","10","7","μ[1]","ess","3.1841496912555947"
"GMM","PG","MH","5","10","7","μ[1]","r_hat","1.4023199399752406"
"GMM","PG","MH","5","10","7","μ[2]","ess","2.4874052296828113"
"GMM","PG","MH","5","10","7","μ[2]","r_hat","1.898654315344299"
"GMM","PG","MH","5","10","8","w[1]","ess","6.922814867548677"
"GMM","PG","MH","5","10","8","w[1]","r_hat","0.9912249828898267"
"GMM","PG","MH","5","10","8","w[2]","ess","6.922814867548662"
"GMM","PG","MH","5","10","8","w[2]","r_hat","0.991224982889827"
"GMM","PG","MH","5","10","8","z[1]","ess","NaN"
"GMM","PG","MH","5","10","8","z[1]","r_hat","NaN"
"GMM","PG","MH","5","10","8","z[2]","ess","114.17475728155325"
"GMM","PG","MH","5","10","8","z[2]","r_hat","1.0103629710818451"
"GMM","PG","MH","5","10","8","z[3]","ess","62.68977928415312"
"GMM","PG","MH","5","10","8","z[3]","r_hat","1.0088875444038443"
"GMM","PG","MH","5","10","8","z[4]","ess","126.3130206049978"
"GMM","PG","MH","5","10","8","z[4]","r_hat","0.9899494936611666"
"GMM","PG","MH","5","10","8","z[5]","ess","NaN"
"GMM","PG","MH","5","10","8","z[5]","r_hat","NaN"
"GMM","PG","MH","5","10","8","z[6]","ess","114.17475728155325"
"GMM","PG","MH","5","10","8","z[6]","r_hat","1.0103629710818451"
"GMM","PG","MH","5","10","8","z[7]","ess","45.30667101174663"
"GMM","PG","MH","5","10","8","z[7]","r_hat","0.9962841089155259"
"GMM","PG","MH","5","10","8","z[8]","ess","114.17475728155325"
"GMM","PG","MH","5","10","8","z[8]","r_hat","1.0103629710818451"
"GMM","PG","MH","5","10","8","z[9]","ess","36.99377771303257"
"GMM","PG","MH","5","10","8","z[9]","r_hat","1.0088875444038443"
"GMM","PG","MH","5","10","8","z[10]","ess","15.265134376491407"
"GMM","PG","MH","5","10","8","z[10]","r_hat","0.9953443537357617"
"GMM","PG","MH","5","10","8","μ[1]","ess","2.833327005236246"
"GMM","PG","MH","5","10","8","μ[1]","r_hat","1.6031928673902855"
"GMM","PG","MH","5","10","8","μ[2]","ess","2.849163894577084"
